Model,Benchmark,Question Type,Test Instances,Total Input Tokens,Total Output Tokens,Total Judge Input Tokens,Total Judge Output Tokens,Cost Input Tokens,Cost Output Tokens,Cost Jury Input Tokens,Cost Jury Output Tokens,Cost Input Output Tokens
claude_3_5_sonnet_20241022,ACIBench,Open,120,200887,92160,"293,047",491520,0.60 ,1.38 ,1.82 ,12.64 ,16.44 
claude_3_5_sonnet_20241022,CLEAR,Closed,1022,490705,1022,0,0,1.47 ,0.02 ,0.00 ,0.00 ,1.49 
claude_3_5_sonnet_20241022,DischargeMe,Open,1000,3668270,300000,"3,968,270",4096000,11.00 ,4.50 ,24.64 ,105.31 ,145.46 
claude_3_5_sonnet_20241022,EHR-SQL,Closed,1000,1126031,1024000,0,0,3.38 ,15.36 ,0.00 ,0.00 ,18.74 
claude_3_5_sonnet_20241022,EHRSHOT,Closed,3000,99557206,3000,0,0,298.67 ,0.05 ,0.00 ,0.00 ,298.72 
claude_3_5_sonnet_20241022,HEADQA,Closed,1000,163022,1000,0,0,0.49 ,0.02 ,0.00 ,0.00 ,0.50 
claude_3_5_sonnet_20241022,MedAlign,Open,172,11747242,44032,"11,791,274",704512,35.24 ,0.66 ,73.22 ,18.11 ,127.24 
claude_3_5_sonnet_20241022,MedBullets,Closed,308,106453,308,0,0,0.32 ,0.00 ,0.00 ,0.00 ,0.32 
claude_3_5_sonnet_20241022,MedCalcBench,Closed,1000,579799,10000,0,0,1.74 ,0.15 ,0.00 ,0.00 ,1.89 
claude_3_5_sonnet_20241022,MedDialog,Open,2000,534492,160000,"694,492",8192000,1.60 ,2.40 ,4.31 ,210.62 ,218.93 
claude_3_5_sonnet_20241022,Medec,Closed,597,191349,152832,0,0,0.57 ,2.29 ,0.00 ,0.00 ,2.87 
claude_3_5_sonnet_20241022,MedHallu,Closed,1000,720166,5000,0,0,2.16 ,0.08 ,0.00 ,0.00 ,2.24 
claude_3_5_sonnet_20241022,MedicationQA,Open,689,17285,352768,"370,053",2822144,0.05 ,5.29 ,2.30 ,72.56 ,80.20 
claude_3_5_sonnet_20241022,MediQA,Open,150,6093,153600,"159,693",614400,0.02 ,2.30 ,0.99 ,15.80 ,19.11 
claude_3_5_sonnet_20241022,MentalHealth,Open,67,47164,34304,"81,468",274432,0.14 ,0.51 ,0.51 ,7.06 ,8.22 
claude_3_5_sonnet_20241022,MIMICBHC,Open,100,65394,102400,"167,794",409600,0.20 ,1.54 ,1.04 ,10.53 ,13.30 
claude_3_5_sonnet_20241022,MIMICIV-BillingCode,Closed,1000,2134886,256000,0,0,6.40 ,3.84 ,0.00 ,0.00 ,10.24 
claude_3_5_sonnet_20241022,MIMICRRS,Open,1000,212638,128000,"340,638",4096000,0.64 ,1.92 ,2.12 ,105.31 ,109.98 
claude_3_5_sonnet_20241022,MTSamples,Open,78,64556,39936,"104,492",319488,0.19 ,0.60 ,0.65 ,8.21 ,9.66 
claude_3_5_sonnet_20241022,MTSamples-Procedures,Open,128,39634,65536,"105,170",524288,0.12 ,0.98 ,0.65 ,13.48 ,15.23 
claude_3_5_sonnet_20241022,N2C2,Closed,258,991934,172,0,0,2.98 ,0.00 ,0.00 ,0.00 ,2.98 
claude_3_5_sonnet_20241022,NoteExtract,Open,487,379690,374016,"753,706",1994752,1.14 ,5.61 ,4.68 ,51.29 ,62.71 
claude_3_5_sonnet_20241022,PatientInstruct,Open,361,928178,92416,"1,020,594",1478656,2.78 ,1.39 ,6.34 ,38.02 ,48.52 
claude_3_5_sonnet_20241022,PubMedQA,Closed,1000,358302,1000,0,0,1.07 ,0.02 ,0.00 ,0.00 ,1.09 
claude_3_5_sonnet_20241022,RaceBias,Closed,167,81880,167,0,0,0.25 ,0.00 ,0.00 ,0.00 ,0.25 
claude_3_5_sonnet_20241022,ADHD-Behavior,Closed,423,123566,423,0,0,0.37 ,0.01 ,0.00 ,0.00 ,0.38 
claude_3_5_sonnet_20241022,ADHD-MedEffects,Closed,915,711094,915,0,0,2.13 ,0.01 ,0.00 ,0.00 ,2.15 
claude_3_5_sonnet_20241022,BMT-Status,Closed,220,449234,220,0,0,1.35 ,0.00 ,0.00 ,0.00 ,1.35 
claude_3_5_sonnet_20241022,CDI-QA,Closed,1000,63153442,1000,0,0,189.46 ,0.02 ,0.00 ,0.00 ,189.48 
